,city,latitude,longitude,province,unnamed: 4,unnamed: 5,year,violations,incidents,rates,matched_geo_name,total_population,total_private_dwellings,population_density,pct_0_14,pct_15_64,pct_65_plus,avg_age,median_age,median_income,avg_income,low_income_households,total_visible_minority,not_visible_minority,no_diploma,highschool,post_secondary
754,Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2013,Total property crime violations [200],458.0,13263.83,Eskasoni 3,3422.0,1114.0,94.5,1130,2120,175,27.9,23.5,23317,37237,0,0,3420,885,575,830
755,Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2013,Total other Criminal Code violations [300],234.0,6776.72,Eskasoni 3,3422.0,1114.0,94.5,1130,2120,175,27.9,23.5,23317,37237,0,0,3420,885,575,830
756,Clark's Harbour,43.4478,-65.6386,Nova Scotia,municipal [12008],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Clark's Harbour,758.0,407.0,269.6,105,500,150,45,48.1,53120,66895,755,0,755,265,170,235
757,Clark's Harbour,43.4478,-65.6386,Nova Scotia,municipal [12008],,2013,Total violent Criminal Code violations [100],,,Clark's Harbour,758.0,407.0,269.6,105,500,150,45,48.1,53120,66895,755,0,755,265,170,235
758,Clark's Harbour,43.4478,-65.6386,Nova Scotia,municipal [12008],,2013,Total property crime violations [200],,,Clark's Harbour,758.0,407.0,269.6,105,500,150,45,48.1,53120,66895,755,0,755,265,170,235
759,Clark's Harbour,43.4478,-65.6386,Nova Scotia,municipal [12008],,2013,Total other Criminal Code violations [300],,,Clark's Harbour,758.0,407.0,269.6,105,500,150,45,48.1,53120,66895,755,0,755,265,170,235
760,Colchester County,45.3734,-63.1212,Nova Scotia,Royal Canadian Mounted Police,rural [12009],2013,"Total, all Criminal Code violations (excluding traffic) [50]",1923.0,4995.32,Chester,10310.0,6492.0,9.2,1265,6265,2780,48.5,53.1,54336,75575,10175,115,10050,2105,2035,4765
761,Colchester County,45.3734,-63.1212,Nova Scotia,Royal Canadian Mounted Police,rural [12009],2013,Total violent Criminal Code violations [100],357.0,927.37,Chester,10310.0,6492.0,9.2,1265,6265,2780,48.5,53.1,54336,75575,10175,115,10050,2105,2035,4765
762,Colchester County,45.3734,-63.1212,Nova Scotia,Royal Canadian Mounted Police,rural [12009],2013,Total property crime violations [200],1276.0,3314.63,Chester,10310.0,6492.0,9.2,1265,6265,2780,48.5,53.1,54336,75575,10175,115,10050,2105,2035,4765
763,Colchester County,45.3734,-63.1212,Nova Scotia,Royal Canadian Mounted Police,rural [12009],2013,Total other Criminal Code violations [300],290.0,753.33,Chester,10310.0,6492.0,9.2,1265,6265,2780,48.5,53.1,54336,75575,10175,115,10050,2105,2035,4765
764,Pictou County,45.5321,-62.6325,Nova Scotia,Royal Canadian Mounted Police,rural [12010],2013,"Total, all Criminal Code violations (excluding traffic) [50]",854.0,3878.12,Pictou,3186.0,1627.0,397.6,410,1885,890,47.7,51.5,47936,63952,3020,50,2975,590,670,1415
