CITY,Latitude,Longitude,PROVINCE,,,YEAR,VIOLATIONS,INCIDENTS,RATES
Richmond County,45.7103,-60.5615,Nova Scotia,Royal Canadian Mounted Police,rural [12016],2010,Total other Criminal Code violations [300],63,656.87
Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2010,Total violent Criminal Code violations [100],,
Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2010,Total property crime violations [200],,
Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2010,Total other Criminal Code violations [300],,
Cape Breton Region,45.9614,-60.2763,Nova Scotia,municipal [12018],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",6462,6379.76
Cape Breton Region,45.9614,-60.2763,Nova Scotia,municipal [12018],,2010,Total violent Criminal Code violations [100],1228,1212.37
Cape Breton Region,45.9614,-60.2763,Nova Scotia,municipal [12018],,2010,Total property crime violations [200],4054,4002.41
Cape Breton Region,45.9614,-60.2763,Nova Scotia,municipal [12018],,2010,Total other Criminal Code violations [300],1180,1164.98
Halifax,44.6509,-63.5923,Nova Scotia,municipal [12020],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",0,0
Halifax,44.6509,-63.5923,Nova Scotia,municipal [12020],,2010,Total violent Criminal Code violations [100],0,0
Halifax,44.6509,-63.5923,Nova Scotia,municipal [12020],,2010,Total property crime violations [200],0,0
Halifax,44.6509,-63.5923,Nova Scotia,municipal [12020],,2010,Total other Criminal Code violations [300],0,0
Hantsport,45.0664,-64.1796,Nova Scotia,municipal [12021],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Hantsport,45.0664,-64.1796,Nova Scotia,municipal [12021],,2010,Total violent Criminal Code violations [100],,
Hantsport,45.0664,-64.1796,Nova Scotia,municipal [12021],,2010,Total property crime violations [200],,
Hantsport,45.0664,-64.1796,Nova Scotia,municipal [12021],,2010,Total other Criminal Code violations [300],,
Kentville,45.0771,-64.4943,Nova Scotia,municipal [12023],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",536,8681.57
Kentville,45.0771,-64.4943,Nova Scotia,municipal [12023],,2010,Total violent Criminal Code violations [100],120,1943.63
Kentville,45.0771,-64.4943,Nova Scotia,municipal [12023],,2010,Total property crime violations [200],315,5102.04
Kentville,45.0771,-64.4943,Nova Scotia,municipal [12023],,2010,Total other Criminal Code violations [300],101,1635.89
Lunenburg,44.378,-64.3144,Nova Scotia,municipal [12029],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Lunenburg,44.378,-64.3144,Nova Scotia,municipal [12029],,2010,Total violent Criminal Code violations [100],,
Lunenburg,44.378,-64.3144,Nova Scotia,municipal [12029],,2010,Total property crime violations [200],,
Lunenburg,44.378,-64.3144,Nova Scotia,municipal [12029],,2010,Total other Criminal Code violations [300],,
Middleton,44.9455,-65.07,Nova Scotia,municipal [12031],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Middleton,44.9455,-65.07,Nova Scotia,municipal [12031],,2010,Total violent Criminal Code violations [100],,
Middleton,44.9455,-65.07,Nova Scotia,municipal [12031],,2010,Total property crime violations [200],,
Middleton,44.9455,-65.07,Nova Scotia,municipal [12031],,2010,Total other Criminal Code violations [300],,
North Sydney,46.2065,-60.2524,Nova Scotia,municipal [12035],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
North Sydney,46.2065,-60.2524,Nova Scotia,municipal [12035],,2010,Total violent Criminal Code violations [100],,
North Sydney,46.2065,-60.2524,Nova Scotia,municipal [12035],,2010,Total property crime violations [200],,
North Sydney,46.2065,-60.2524,Nova Scotia,municipal [12035],,2010,Total other Criminal Code violations [300],,
Springhill,45.6486,-64.0603,Nova Scotia,municipal [12043],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",525,13164.49
Springhill,45.6486,-64.0603,Nova Scotia,municipal [12043],,2010,Total violent Criminal Code violations [100],166,4162.49
Springhill,45.6486,-64.0603,Nova Scotia,municipal [12043],,2010,Total property crime violations [200],247,6193.58
Springhill,45.6486,-64.0603,Nova Scotia,municipal [12043],,2010,Total other Criminal Code violations [300],112,2808.43
Stellarton,45.5568,-62.6603,Nova Scotia,municipal [12044],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",342,7350.1
Stellarton,45.5568,-62.6603,Nova Scotia,municipal [12044],,2010,Total violent Criminal Code violations [100],43,924.13
Stellarton,45.5568,-62.6603,Nova Scotia,municipal [12044],,2010,Total property crime violations [200],234,5029.01
Stellarton,45.5568,-62.6603,Nova Scotia,municipal [12044],,2010,Total other Criminal Code violations [300],65,1396.95
Sydney,46.1368,-60.1942,Nova Scotia,municipal [12048],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Sydney,46.1368,-60.1942,Nova Scotia,municipal [12048],,2010,Total violent Criminal Code violations [100],,
Sydney,46.1368,-60.1942,Nova Scotia,municipal [12048],,2010,Total property crime violations [200],,
Sydney,46.1368,-60.1942,Nova Scotia,municipal [12048],,2010,Total other Criminal Code violations [300],,
Truro,45.3646,-63.2765,Nova Scotia,municipal [12052],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",2247,18266.81
Truro,45.3646,-63.2765,Nova Scotia,municipal [12052],,2010,Total violent Criminal Code violations [100],421,3422.49
Truro,45.3646,-63.2765,Nova Scotia,municipal [12052],,2010,Total property crime violations [200],1213,9860.99
Truro,45.3646,-63.2765,Nova Scotia,municipal [12052],,2010,Total other Criminal Code violations [300],613,4983.33
Westville,45.5564,-62.7155,Nova Scotia,municipal [12054],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",265,6890.28
Westville,45.5564,-62.7155,Nova Scotia,municipal [12054],,2010,Total violent Criminal Code violations [100],56,1456.06
Westville,45.5564,-62.7155,Nova Scotia,municipal [12054],,2010,Total property crime violations [200],141,3666.15
Westville,45.5564,-62.7155,Nova Scotia,municipal [12054],,2010,Total other Criminal Code violations [300],68,1768.07
Wolfville,45.0918,-64.3598,Nova Scotia,municipal [12056],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Wolfville,45.0918,-64.3598,Nova Scotia,municipal [12056],,2010,Total violent Criminal Code violations [100],,
Wolfville,45.0918,-64.3598,Nova Scotia,municipal [12056],,2010,Total property crime violations [200],,
Wolfville,45.0918,-64.3598,Nova Scotia,municipal [12056],,2010,Total other Criminal Code violations [300],,
Yarmouth,43.8379,-66.1197,Nova Scotia,municipal [12057],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Yarmouth,43.8379,-66.1197,Nova Scotia,municipal [12057],,2010,Total violent Criminal Code violations [100],,
Yarmouth,43.8379,-66.1197,Nova Scotia,municipal [12057],,2010,Total property crime violations [200],,
Yarmouth,43.8379,-66.1197,Nova Scotia,municipal [12057],,2010,Total other Criminal Code violations [300],,
New Glasgow Region,45.59256,-62.645458,Nova Scotia,municipal [12058],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",1585,16330.11
New Glasgow Region,45.59256,-62.645458,Nova Scotia,municipal [12058],,2010,Total violent Criminal Code violations [100],387,3987.22
New Glasgow Region,45.59256,-62.645458,Nova Scotia,municipal [12058],,2010,Total property crime violations [200],899,9262.31
