CITY,Latitude,Longitude,PROVINCE,,,YEAR,VIOLATIONS,INCIDENTS,RATES
Yarmouth,43.8379,-66.1197,Nova Scotia,Royal Canadian Mounted Police,rural [12747],2011,"Total, all Criminal Code violations (excluding traffic) [50]",618,3272.61
Yarmouth,43.8379,-66.1197,Nova Scotia,Royal Canadian Mounted Police,rural [12747],2011,Total violent Criminal Code violations [100],166,879.05
Yarmouth,43.8379,-66.1197,Nova Scotia,Royal Canadian Mounted Police,rural [12747],2011,Total property crime violations [200],378,2001.69
Yarmouth,43.8379,-66.1197,Nova Scotia,Royal Canadian Mounted Police,rural [12747],2011,Total other Criminal Code violations [300],74,391.87
Cumberland County,45.7606,-64.0275,Nova Scotia,Royal Canadian Mounted Police,rural [12750],2011,"Total, all Criminal Code violations (excluding traffic) [50]",403,2586.15
Cumberland County,45.7606,-64.0275,Nova Scotia,Royal Canadian Mounted Police,rural [12750],2011,Total violent Criminal Code violations [100],72,462.04
Cumberland County,45.7606,-64.0275,Nova Scotia,Royal Canadian Mounted Police,rural [12750],2011,Total property crime violations [200],279,1790.41
Cumberland County,45.7606,-64.0275,Nova Scotia,Royal Canadian Mounted Police,rural [12750],2011,Total other Criminal Code violations [300],52,333.7
Antigonish County,45.524,-61.9806,Nova Scotia,Royal Canadian Mounted Police,rural [12751],2011,"Total, all Criminal Code violations (excluding traffic) [50]",373,2422.86
Antigonish County,45.524,-61.9806,Nova Scotia,Royal Canadian Mounted Police,rural [12751],2011,Total violent Criminal Code violations [100],81,526.14
Antigonish County,45.524,-61.9806,Nova Scotia,Royal Canadian Mounted Police,rural [12751],2011,Total property crime violations [200],229,1487.5
Antigonish County,45.524,-61.9806,Nova Scotia,Royal Canadian Mounted Police,rural [12751],2011,Total other Criminal Code violations [300],63,409.22
Antigonish,45.6225,-61.9914,Nova Scotia,Royal Canadian Mounted Police,municipal [12752],2011,"Total, all Criminal Code violations (excluding traffic) [50]",495,10654.33
Antigonish,45.6225,-61.9914,Nova Scotia,Royal Canadian Mounted Police,municipal [12752],2011,Total violent Criminal Code violations [100],94,2023.25
Antigonish,45.6225,-61.9914,Nova Scotia,Royal Canadian Mounted Police,municipal [12752],2011,Total property crime violations [200],254,5467.07
Antigonish,45.6225,-61.9914,Nova Scotia,Royal Canadian Mounted Police,municipal [12752],2011,Total other Criminal Code violations [300],147,3164.01
Guysborough County,44.878,-59.8066,Nova Scotia,Royal Canadian Mounted Police,rural [12760],2011,"Total, all Criminal Code violations (excluding traffic) [50]",239,3202.89
Guysborough County,44.878,-59.8066,Nova Scotia,Royal Canadian Mounted Police,rural [12760],2011,Total violent Criminal Code violations [100],94,1259.72
Guysborough County,44.878,-59.8066,Nova Scotia,Royal Canadian Mounted Police,rural [12760],2011,Total property crime violations [200],117,1567.94
Guysborough County,44.878,-59.8066,Nova Scotia,Royal Canadian Mounted Police,rural [12760],2011,Total other Criminal Code violations [300],28,375.23
Stellarton,45.5568,-62.6603,Nova Scotia,Royal Canadian Mounted Police,rural [12770],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Stellarton,45.5568,-62.6603,Nova Scotia,Royal Canadian Mounted Police,rural [12770],2011,Total violent Criminal Code violations [100],,
Stellarton,45.5568,-62.6603,Nova Scotia,Royal Canadian Mounted Police,rural [12770],2011,Total property crime violations [200],,
Stellarton,45.5568,-62.6603,Nova Scotia,Royal Canadian Mounted Police,rural [12770],2011,Total other Criminal Code violations [300],,
Parrsboro,45.4057,-64.3259,Nova Scotia,Royal Canadian Mounted Police,rural [12775],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Parrsboro,45.4057,-64.3259,Nova Scotia,Royal Canadian Mounted Police,rural [12775],2011,Total violent Criminal Code violations [100],,
Parrsboro,45.4057,-64.3259,Nova Scotia,Royal Canadian Mounted Police,rural [12775],2011,Total property crime violations [200],,
Parrsboro,45.4057,-64.3259,Nova Scotia,Royal Canadian Mounted Police,rural [12775],2011,Total other Criminal Code violations [300],,
Pictou,45.6761,-62.7088,Nova Scotia,Royal Canadian Mounted Police,municipal [12776],2011,"Total, all Criminal Code violations (excluding traffic) [50]",296,8433.05
Pictou,45.6761,-62.7088,Nova Scotia,Royal Canadian Mounted Police,municipal [12776],2011,Total violent Criminal Code violations [100],76,2165.24
Pictou,45.6761,-62.7088,Nova Scotia,Royal Canadian Mounted Police,municipal [12776],2011,Total property crime violations [200],168,4786.32
Pictou,45.6761,-62.7088,Nova Scotia,Royal Canadian Mounted Police,municipal [12776],2011,Total other Criminal Code violations [300],52,1481.48
Pugwash,45.8507,-63.6603,Nova Scotia,Royal Canadian Mounted Police,rural [12777],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Pugwash,45.8507,-63.6603,Nova Scotia,Royal Canadian Mounted Police,rural [12777],2011,Total violent Criminal Code violations [100],,
Pugwash,45.8507,-63.6603,Nova Scotia,Royal Canadian Mounted Police,rural [12777],2011,Total property crime violations [200],,
Pugwash,45.8507,-63.6603,Nova Scotia,Royal Canadian Mounted Police,rural [12777],2011,Total other Criminal Code violations [300],,
Sherbrooke,45.14021,-61.97991,Nova Scotia,Royal Canadian Mounted Police,rural [12780],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Sherbrooke,45.14021,-61.97991,Nova Scotia,Royal Canadian Mounted Police,rural [12780],2011,Total violent Criminal Code violations [100],,
Sherbrooke,45.14021,-61.97991,Nova Scotia,Royal Canadian Mounted Police,rural [12780],2011,Total property crime violations [200],,
Sherbrooke,45.14021,-61.97991,Nova Scotia,Royal Canadian Mounted Police,rural [12780],2011,Total other Criminal Code violations [300],,
Enfield (East Hants),44.9246,-63.538,Nova Scotia,Royal Canadian Mounted Police,rural [12782],2011,"Total, all Criminal Code violations (excluding traffic) [50]",755,4434.92
Enfield (East Hants),44.9246,-63.538,Nova Scotia,Royal Canadian Mounted Police,rural [12782],2011,Total violent Criminal Code violations [100],161,945.72
Enfield (East Hants),44.9246,-63.538,Nova Scotia,Royal Canadian Mounted Police,rural [12782],2011,Total property crime violations [200],498,2925.28
Enfield (East Hants),44.9246,-63.538,Nova Scotia,Royal Canadian Mounted Police,rural [12782],2011,Total other Criminal Code violations [300],96,563.91
Tatamagouche,45.7092,-63.2942,Nova Scotia,Royal Canadian Mounted Police,rural [12785],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Tatamagouche,45.7092,-63.2942,Nova Scotia,Royal Canadian Mounted Police,rural [12785],2011,Total violent Criminal Code violations [100],,
Tatamagouche,45.7092,-63.2942,Nova Scotia,Royal Canadian Mounted Police,rural [12785],2011,Total property crime violations [200],,
Tatamagouche,45.7092,-63.2942,Nova Scotia,Royal Canadian Mounted Police,rural [12785],2011,Total other Criminal Code violations [300],,
Bible Hill,45.381,-63.2511,Nova Scotia,Royal Canadian Mounted Police,rural [12786],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Bible Hill,45.381,-63.2511,Nova Scotia,Royal Canadian Mounted Police,rural [12786],2011,Total violent Criminal Code violations [100],,
Bible Hill,45.381,-63.2511,Nova Scotia,Royal Canadian Mounted Police,rural [12786],2011,Total property crime violations [200],,
Bible Hill,45.381,-63.2511,Nova Scotia,Royal Canadian Mounted Police,rural [12786],2011,Total other Criminal Code violations [300],,
Arichat,45.5137,-61.0118,Nova Scotia,Royal Canadian Mounted Police,rural [12800],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Arichat,45.5137,-61.0118,Nova Scotia,Royal Canadian Mounted Police,rural [12800],2011,Total violent Criminal Code violations [100],,
Arichat,45.5137,-61.0118,Nova Scotia,Royal Canadian Mounted Police,rural [12800],2011,Total property crime violations [200],,
Arichat,45.5137,-61.0118,Nova Scotia,Royal Canadian Mounted Police,rural [12800],2011,Total other Criminal Code violations [300],,
Victoria County,46.4866,-60.6545,Nova Scotia,Royal Canadian Mounted Police,rural [12802],2011,"Total, all Criminal Code violations (excluding traffic) [50]",666,9188.74
Victoria County,46.4866,-60.6545,Nova Scotia,Royal Canadian Mounted Police,rural [12802],2011,Total violent Criminal Code violations [100],205,2828.37
Victoria County,46.4866,-60.6545,Nova Scotia,Royal Canadian Mounted Police,rural [12802],2011,Total property crime violations [200],332,4580.57
Victoria County,46.4866,-60.6545,Nova Scotia,Royal Canadian Mounted Police,rural [12802],2011,Total other Criminal Code violations [300],129,1779.8
Chéticamp,46.625,-61.0148,Nova Scotia,Royal Canadian Mounted Police,rural [12805],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Chéticamp,46.625,-61.0148,Nova Scotia,Royal Canadian Mounted Police,rural [12805],2011,Total violent Criminal Code violations [100],,
Chéticamp,46.625,-61.0148,Nova Scotia,Royal Canadian Mounted Police,rural [12805],2011,Total property crime violations [200],,
Chéticamp,46.625,-61.0148,Nova Scotia,Royal Canadian Mounted Police,rural [12805],2011,Total other Criminal Code violations [300],,
Ingonish Beach,46.6408,-60.404,Nova Scotia,Royal Canadian Mounted Police,rural [12812],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Ingonish Beach,46.6408,-60.404,Nova Scotia,Royal Canadian Mounted Police,rural [12812],2011,Total violent Criminal Code violations [100],,
Ingonish Beach,46.6408,-60.404,Nova Scotia,Royal Canadian Mounted Police,rural [12812],2011,Total property crime violations [200],,
Ingonish Beach,46.6408,-60.404,Nova Scotia,Royal Canadian Mounted Police,rural [12812],2011,Total other Criminal Code violations [300],,
Inverness County,46.1794,-61.2039,Nova Scotia,Royal Canadian Mounted Police,rural [12813],2011,"Total, all Criminal Code violations (excluding traffic) [50]",923,5902.67
Inverness County,46.1794,-61.2039,Nova Scotia,Royal Canadian Mounted Police,rural [12813],2011,Total violent Criminal Code violations [100],190,1215.07
Inverness County,46.1794,-61.2039,Nova Scotia,Royal Canadian Mounted Police,rural [12813],2011,Total property crime violations [200],563,3600.43
Inverness County,46.1794,-61.2039,Nova Scotia,Royal Canadian Mounted Police,rural [12813],2011,Total other Criminal Code violations [300],170,1087.17
Port Hawkesbury,45.6149,-61.3518,Nova Scotia,Royal Canadian Mounted Police,rural [12820],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Port Hawkesbury,45.6149,-61.3518,Nova Scotia,Royal Canadian Mounted Police,rural [12820],2011,Total violent Criminal Code violations [100],,
Port Hawkesbury,45.6149,-61.3518,Nova Scotia,Royal Canadian Mounted Police,rural [12820],2011,Total property crime violations [200],,
Port Hawkesbury,45.6149,-61.3518,Nova Scotia,Royal Canadian Mounted Police,rural [12820],2011,Total other Criminal Code violations [300],,
Port Hawkesbury,45.6149,-61.3518,Nova Scotia,Royal Canadian Mounted Police,municipal [12821],2011,"Total, all Criminal Code violations (excluding traffic) [50]",347,10078.42
Port Hawkesbury,45.6149,-61.3518,Nova Scotia,Royal Canadian Mounted Police,municipal [12821],2011,Total violent Criminal Code violations [100],144,4182.4
Port Hawkesbury,45.6149,-61.3518,Nova Scotia,Royal Canadian Mounted Police,municipal [12821],2011,Total property crime violations [200],131,3804.82
Port Hawkesbury,45.6149,-61.3518,Nova Scotia,Royal Canadian Mounted Police,municipal [12821],2011,Total other Criminal Code violations [300],72,2091.2
St. Peters,45.656,-60.8751,Nova Scotia,Royal Canadian Mounted Police,rural [12825],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
St. Peters,45.656,-60.8751,Nova Scotia,Royal Canadian Mounted Police,rural [12825],2011,Total violent Criminal Code violations [100],,
St. Peters,45.656,-60.8751,Nova Scotia,Royal Canadian Mounted Police,rural [12825],2011,Total property crime violations [200],,
St. Peters,45.656,-60.8751,Nova Scotia,Royal Canadian Mounted Police,rural [12825],2011,Total other Criminal Code violations [300],,
Oxford County,45.7363,-63.86728,Nova Scotia,Royal Canadian Mounted Police,municipal [12833],2011,"Total, all Criminal Code violations (excluding traffic) [50]",95,8078.23
Oxford County,45.7363,-63.86728,Nova Scotia,Royal Canadian Mounted Police,municipal [12833],2011,Total violent Criminal Code violations [100],34,2891.16
Oxford County,45.7363,-63.86728,Nova Scotia,Royal Canadian Mounted Police,municipal [12833],2011,Total property crime violations [200],43,3656.46
Oxford County,45.7363,-63.86728,Nova Scotia,Royal Canadian Mounted Police,municipal [12833],2011,Total other Criminal Code violations [300],18,1530.61
Yarmouth,43.8379,-66.1197,Nova Scotia,Royal Canadian Mounted Police,municipal [12834],2011,"Total, all Criminal Code violations (excluding traffic) [50]",1009,14655.05
Yarmouth,43.8379,-66.1197,Nova Scotia,Royal Canadian Mounted Police,municipal [12834],2011,Total violent Criminal Code violations [100],242,3514.89
Yarmouth,43.8379,-66.1197,Nova Scotia,Royal Canadian Mounted Police,municipal [12834],2011,Total property crime violations [200],546,7930.28
Yarmouth,43.8379,-66.1197,Nova Scotia,Royal Canadian Mounted Police,municipal [12834],2011,Total other Criminal Code violations [300],221,3209.88
Canso,45.3363,-60.9944,Nova Scotia,Royal Canadian Mounted Police,rural [12835],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Canso,45.3363,-60.9944,Nova Scotia,Royal Canadian Mounted Police,rural [12835],2011,Total violent Criminal Code violations [100],,
Canso,45.3363,-60.9944,Nova Scotia,Royal Canadian Mounted Police,rural [12835],2011,Total property crime violations [200],,
Canso,45.3363,-60.9944,Nova Scotia,Royal Canadian Mounted Police,rural [12835],2011,Total other Criminal Code violations [300],,
Shelburne,43.7633,-65.3235,Nova Scotia,Royal Canadian Mounted Police,municipal [12836],2011,"Total, all Criminal Code violations (excluding traffic) [50]",251,14610.01
Shelburne,43.7633,-65.3235,Nova Scotia,Royal Canadian Mounted Police,municipal [12836],2011,Total violent Criminal Code violations [100],73,4249.13
Shelburne,43.7633,-65.3235,Nova Scotia,Royal Canadian Mounted Police,municipal [12836],2011,Total property crime violations [200],116,6752.04
Shelburne,43.7633,-65.3235,Nova Scotia,Royal Canadian Mounted Police,municipal [12836],2011,Total other Criminal Code violations [300],62,3608.85
Oxford,45.7362,-63.8674,Nova Scotia,Royal Canadian Mounted Police,rural [12837],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Oxford,45.7362,-63.8674,Nova Scotia,Royal Canadian Mounted Police,rural [12837],2011,Total violent Criminal Code violations [100],,
Oxford,45.7362,-63.8674,Nova Scotia,Royal Canadian Mounted Police,rural [12837],2011,Total property crime violations [200],,
Oxford,45.7362,-63.8674,Nova Scotia,Royal Canadian Mounted Police,rural [12837],2011,Total other Criminal Code violations [300],,
Pictou,45.6761,-62.7088,Nova Scotia,Royal Canadian Mounted Police,rural [12838],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Pictou,45.6761,-62.7088,Nova Scotia,Royal Canadian Mounted Police,rural [12838],2011,Total violent Criminal Code violations [100],,
Pictou,45.6761,-62.7088,Nova Scotia,Royal Canadian Mounted Police,rural [12838],2011,Total property crime violations [200],,
Pictou,45.6761,-62.7088,Nova Scotia,Royal Canadian Mounted Police,rural [12838],2011,Total other Criminal Code violations [300],,
Truro,45.3646,-63.2765,Nova Scotia,Royal Canadian Mounted Police,rural [12840],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Truro,45.3646,-63.2765,Nova Scotia,Royal Canadian Mounted Police,rural [12840],2011,Total violent Criminal Code violations [100],,
Truro,45.3646,-63.2765,Nova Scotia,Royal Canadian Mounted Police,rural [12840],2011,Total property crime violations [200],,
Truro,45.3646,-63.2765,Nova Scotia,Royal Canadian Mounted Police,rural [12840],2011,Total other Criminal Code violations [300],,
Sydney,46.1368,-60.1942,Nova Scotia,Royal Canadian Mounted Police,rural [12841],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Sydney,46.1368,-60.1942,Nova Scotia,Royal Canadian Mounted Police,rural [12841],2011,Total violent Criminal Code violations [100],,
Sydney,46.1368,-60.1942,Nova Scotia,Royal Canadian Mounted Police,rural [12841],2011,Total property crime violations [200],,
Sydney,46.1368,-60.1942,Nova Scotia,Royal Canadian Mounted Police,rural [12841],2011,Total other Criminal Code violations [300],,
Halifax,44.6509,-63.5923,Nova Scotia,Royal Canadian Mounted Police,rural [12843],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Halifax,44.6509,-63.5923,Nova Scotia,Royal Canadian Mounted Police,rural [12843],2011,Total violent Criminal Code violations [100],,
Halifax,44.6509,-63.5923,Nova Scotia,Royal Canadian Mounted Police,rural [12843],2011,Total property crime violations [200],,
Halifax,44.6509,-63.5923,Nova Scotia,Royal Canadian Mounted Police,rural [12843],2011,Total other Criminal Code violations [300],,
Elmsdale Hants Co.,44.9675,-63.5045,Nova Scotia,Royal Canadian Mounted Police,rural [12844],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Elmsdale Hants Co.,44.9675,-63.5045,Nova Scotia,Royal Canadian Mounted Police,rural [12844],2011,Total violent Criminal Code violations [100],,
Elmsdale Hants Co.,44.9675,-63.5045,Nova Scotia,Royal Canadian Mounted Police,rural [12844],2011,Total property crime violations [200],,
Elmsdale Hants Co.,44.9675,-63.5045,Nova Scotia,Royal Canadian Mounted Police,rural [12844],2011,Total other Criminal Code violations [300],,
Musquodoboit,44.7873,-63.1481,Nova Scotia,Royal Canadian Mounted Police,rural [12845],2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Musquodoboit,44.7873,-63.1481,Nova Scotia,Royal Canadian Mounted Police,rural [12845],2011,Total violent Criminal Code violations [100],,
Musquodoboit,44.7873,-63.1481,Nova Scotia,Royal Canadian Mounted Police,rural [12845],2011,Total property crime violations [200],,
Musquodoboit,44.7873,-63.1481,Nova Scotia,Royal Canadian Mounted Police,rural [12845],2011,Total other Criminal Code violations [300],,
Indian Brook,45.0868,-63.4819,Nova Scotia,Royal Canadian Mounted Police,rural [12849],2011,"Total, all Criminal Code violations (excluding traffic) [50]",463,41524.66
Indian Brook,45.0868,-63.4819,Nova Scotia,Royal Canadian Mounted Police,rural [12849],2011,Total violent Criminal Code violations [100],126,11300.45
Indian Brook,45.0868,-63.4819,Nova Scotia,Royal Canadian Mounted Police,rural [12849],2011,Total property crime violations [200],243,21793.72
Indian Brook,45.0868,-63.4819,Nova Scotia,Royal Canadian Mounted Police,rural [12849],2011,Total other Criminal Code violations [300],94,8430.49
Millbrook,45.385116,-63.207754,Nova Scotia,Royal Canadian Mounted Police,rural [12850],2011,"Total, all Criminal Code violations (excluding traffic) [50]",288,
Millbrook,45.385116,-63.207754,Nova Scotia,Royal Canadian Mounted Police,rural [12850],2011,Total violent Criminal Code violations [100],63,
Millbrook,45.385116,-63.207754,Nova Scotia,Royal Canadian Mounted Police,rural [12850],2011,Total property crime violations [200],158,
Millbrook,45.385116,-63.207754,Nova Scotia,Royal Canadian Mounted Police,rural [12850],2011,Total other Criminal Code violations [300],67,
Halifax (Division Headquarters 1),44.65107,-63.582687,Nova Scotia,Royal Canadian Mounted Police [12959],,2011,"Total, all Criminal Code violations (excluding traffic) [50]",0,
Halifax (Division Headquarters 1),44.65107,-63.582687,Nova Scotia,Royal Canadian Mounted Police [12959],,2011,Total violent Criminal Code violations [100],0,
Halifax (Division Headquarters 1),44.65107,-63.582687,Nova Scotia,Royal Canadian Mounted Police [12959],,2011,Total property crime violations [200],0,
Halifax (Division Headquarters 1),44.65107,-63.582687,Nova Scotia,Royal Canadian Mounted Police [12959],,2011,Total other Criminal Code violations [300],0,
Halifax (Division Headquarters 2),44.65107,-63.582687,Nova Scotia,Royal Canadian Mounted Police [12970],,2011,"Total, all Criminal Code violations (excluding traffic) [50]",0,
Halifax (Division Headquarters 2),44.65107,-63.582687,Nova Scotia,Royal Canadian Mounted Police [12970],,2011,Total violent Criminal Code violations [100],0,
Halifax (Division Headquarters 2),44.65107,-63.582687,Nova Scotia,Royal Canadian Mounted Police [12970],,2011,Total property crime violations [200],0,
Halifax (Division Headquarters 2),44.65107,-63.582687,Nova Scotia,Royal Canadian Mounted Police [12970],,2011,Total other Criminal Code violations [300],0,
Port of Halifax,44.6414,-63.5664,Nova Scotia,Ports Canada Police [12980],,2011,"Total, all Criminal Code violations (excluding traffic) [50]",,
Port of Halifax,44.6414,-63.5664,Nova Scotia,Ports Canada Police [12980],,2011,Total violent Criminal Code violations [100],,
Port of Halifax,44.6414,-63.5664,Nova Scotia,Ports Canada Police [12980],,2011,Total property crime violations [200],,
Port of Halifax,44.6414,-63.5664,Nova Scotia,Ports Canada Police [12980],,2011,Total other Criminal Code violations [300],,
Canadian National Railway Police,44.828557,-64.907233,Nova Scotia [12990],,,2011,"Total, all Criminal Code violations (excluding traffic) [50]",1,
Canadian National Railway Police,44.828557,-64.907233,Nova Scotia [12990],,,2011,Total violent Criminal Code violations [100],0,
Canadian National Railway Police,44.828557,-64.907233,Nova Scotia [12990],,,2011,Total property crime violations [200],1,
Canadian National Railway Police,44.828557,-64.907233,Nova Scotia [12990],,,2011,Total other Criminal Code violations [300],0,
Nova Scotia [12],45.136499,-62.14238,,,,2012,"Total, all Criminal Code violations (excluding traffic) [50]",60089,6367.82
Nova Scotia [12],45.136499,-62.14238,,,,2012,Total violent Criminal Code violations [100],12966,1374.05
Nova Scotia [12],45.136499,-62.14238,,,,2012,Total property crime violations [200],37336,3956.61
Nova Scotia [12],45.136499,-62.14238,,,,2012,Total other Criminal Code violations [300],9787,1037.16
Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2012,"Total, all Criminal Code violations (excluding traffic) [50]",1124,11514.03
Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2012,Total violent Criminal Code violations [100],256,2622.41
Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2012,Total property crime violations [200],650,6658.47
Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2012,Total other Criminal Code violations [300],218,2233.15
Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2012,"Total, all Criminal Code violations (excluding traffic) [50]",60,
Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2012,Total violent Criminal Code violations [100],13,
Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2012,Total property crime violations [200],22,
Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2012,Total other Criminal Code violations [300],25,
Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2012,"Total, all Criminal Code violations (excluding traffic) [50]",,
Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2012,Total violent Criminal Code violations [100],,
Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2012,Total property crime violations [200],,
Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2012,Total other Criminal Code violations [300],,
Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2012,"Total, all Criminal Code violations (excluding traffic) [50]",,
Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2012,Total violent Criminal Code violations [100],,
Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2012,Total property crime violations [200],,
Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2012,Total other Criminal Code violations [300],,
Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2012,"Total, all Criminal Code violations (excluding traffic) [50]",681,8132.31
Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2012,Total violent Criminal Code violations [100],138,1647.96
Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2012,Total property crime violations [200],441,5266.3
Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2012,Total other Criminal Code violations [300],102,1218.06
Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2012,"Total, all Criminal Code violations (excluding traffic) [50]",1015,29756.67
Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2012,Total violent Criminal Code violations [100],236,6918.79
Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2012,Total property crime violations [200],489,14335.97
Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2012,Total other Criminal Code violations [300],290,8501.91
Clark's Harbour,43.4478,-65.6386,Nova Scotia,municipal [12008],,2012,"Total, all Criminal Code violations (excluding traffic) [50]",,
Clark's Harbour,43.4478,-65.6386,Nova Scotia,municipal [12008],,2012,Total violent Criminal Code violations [100],,
Clark's Harbour,43.4478,-65.6386,Nova Scotia,municipal [12008],,2012,Total property crime violations [200],,
Clark's Harbour,43.4478,-65.6386,Nova Scotia,municipal [12008],,2012,Total other Criminal Code violations [300],,
Colchester County,45.3734,-63.1212,Nova Scotia,Royal Canadian Mounted Police,rural [12009],2012,"Total, all Criminal Code violations (excluding traffic) [50]",2046,5291.2
Colchester County,45.3734,-63.1212,Nova Scotia,Royal Canadian Mounted Police,rural [12009],2012,Total violent Criminal Code violations [100],345,892.21
Colchester County,45.3734,-63.1212,Nova Scotia,Royal Canadian Mounted Police,rural [12009],2012,Total property crime violations [200],1415,3659.36
Colchester County,45.3734,-63.1212,Nova Scotia,Royal Canadian Mounted Police,rural [12009],2012,Total other Criminal Code violations [300],286,739.63
Pictou County,45.5321,-62.6325,Nova Scotia,Royal Canadian Mounted Police,rural [12010],2012,"Total, all Criminal Code violations (excluding traffic) [50]",876,3948.44
Pictou County,45.5321,-62.6325,Nova Scotia,Royal Canadian Mounted Police,rural [12010],2012,Total violent Criminal Code violations [100],219,987.11
Pictou County,45.5321,-62.6325,Nova Scotia,Royal Canadian Mounted Police,rural [12010],2012,Total property crime violations [200],540,2433.97
Pictou County,45.5321,-62.6325,Nova Scotia,Royal Canadian Mounted Police,rural [12010],2012,Total other Criminal Code violations [300],117,527.36
Digby,44.6222,-65.7566,Nova Scotia,municipal [12012],,2012,"Total, all Criminal Code violations (excluding traffic) [50]",,
Digby,44.6222,-65.7566,Nova Scotia,municipal [12012],,2012,Total violent Criminal Code violations [100],,
Digby,44.6222,-65.7566,Nova Scotia,municipal [12012],,2012,Total property crime violations [200],,
Digby,44.6222,-65.7566,Nova Scotia,municipal [12012],,2012,Total other Criminal Code violations [300],,
Glace Bay,46.1969,-59.957,Nova Scotia,municipal [12014],,2012,"Total, all Criminal Code violations (excluding traffic) [50]",,
Glace Bay,46.1969,-59.957,Nova Scotia,municipal [12014],,2012,Total violent Criminal Code violations [100],,
Glace Bay,46.1969,-59.957,Nova Scotia,municipal [12014],,2012,Total property crime violations [200],,
Glace Bay,46.1969,-59.957,Nova Scotia,municipal [12014],,2012,Total other Criminal Code violations [300],,
Richmond County,45.7103,-60.5615,Nova Scotia,Royal Canadian Mounted Police,rural [12016],2012,"Total, all Criminal Code violations (excluding traffic) [50]",463,4932.35
Richmond County,45.7103,-60.5615,Nova Scotia,Royal Canadian Mounted Police,rural [12016],2012,Total violent Criminal Code violations [100],119,1267.71
Richmond County,45.7103,-60.5615,Nova Scotia,Royal Canadian Mounted Police,rural [12016],2012,Total property crime violations [200],265,2823.05
Richmond County,45.7103,-60.5615,Nova Scotia,Royal Canadian Mounted Police,rural [12016],2012,Total other Criminal Code violations [300],79,841.59
Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2012,"Total, all Criminal Code violations (excluding traffic) [50]",,
Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2012,Total violent Criminal Code violations [100],,
Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2012,Total property crime violations [200],,
Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2012,Total other Criminal Code violations [300],,
Cape Breton Region,45.9614,-60.2763,Nova Scotia,municipal [12018],,2012,"Total, all Criminal Code violations (excluding traffic) [50]",6554,6573.06
